gene,ref_rank,screen_direction,therapeutic_action,confidence,layers_concordant,agrees_with_screen,mechanistic_rationale,primary_inconsistency,repurposing_note
IL4R,1,brake_agonize,antagonize,high,4,no,"Knockdown raised the pro-inflammatory program (signed_z=6.73, FDR=0, strong knockdown efficacy), indicating IL4R normally restrains the program, but IL4R/IL4Rα signaling drives Th2 allergic inflammation in asthma per strong OT genetics (0.74), so blocking the receptor (as dupilumab does) is the validated clinical strategy.","Screen direction call ('brake_agonize') is nominally at odds with therapeutic reality: IL4R blockade (antagonism), not agonism, is the approved/effective strategy in asthma, implying the CD4+ T-cell screen readout of 'pro-inflammatory program' may not map onto the same pathway axis as clinical IL4R antagonism.","Dupilumab (anti-IL4Rα mAb) already approved and at max clinical stage 4 for asthma/atopic dermatitis; this is a repurposing/validation case, not a novel target."
IL6R,7,driver_antagonize,antagonize,high,4,yes,"Knockdown significantly lowers the pro-inflammatory program (z=-4.13, FDR=0.002), strong RA genetics (OT=0.74), clinically precedented druggable surface receptor (antibody/biologic) — all layers align with driver/antagonize, consistent with approved tocilizumab/sarilumab mechanism.","none - this is a validated, already-drugged target (5 existing drugs incl. approved), so this is confirmatory rather than a novel discovery.","IL6R monoclonal antibodies already approved (tocilizumab, sarilumab) for RA and other autoimmune indications; could inform biomarker-guided repositioning or dose optimization rather than new drug development."
SRP54,21,driver_antagonize,antagonize,low,2,yes,"Screen shows robust driver signal (z=-4.47, FDR=0.001) and gene is druggable/tractable, but top OT association is severe congenital neutropenia (a Mendelian LoF disease phenocopying loss-of-function), not autoimmunity, making antagonism potentially contraindicated.","LoF-constrained gene whose top disease link is congenital neutropenia caused by SRP54 LoF/haploinsufficiency—antagonizing SRP54 pharmacologically could risk neutropenia-like toxicity, the opposite of a safe therapeutic strategy, despite genetics_tier being labeled 'strong' for an autoimmune indication.","novel - no existing drug (SRP54, part of signal recognition particle/secretory pathway, has no approved ligands; small-molecule tractability claimed but unprecedented target)"
NF1,22,driver_antagonize,antagonize,low,2,yes,"Screen shows strong significant driver signal (z=-4.37, FDR=0.001) but genetics top hit is neurofibromatosis/JMML (RAS-pathway tumor suppressor), not a genuine autoimmune association, weakening disease relevance.","NF1 is a classic tumor-suppressor RAS-GAP whose top genetic association is neurofibromatosis/JMML (loss-of-function causes cancer predisposition), so pharmacologically antagonizing it for autoimmune indications is mechanistically risky and the autoimmune genetic score (0.77, JMML) reflects a myeloid neoplasm rather than a typical autoimmune trait.","novel - no existing drug; NF1 is generally viewed as undruggable RAS-GAP loss target, and small-molecule antagonism strategy is unprecedented (MEK inhibitors used downstream in NF1-mutant tumors, not as agonists/antagonists of NF1 itself)"
SUOX,26,driver_antagonize,antagonize,low,2,yes,"Screen shows strong significant driver signal (z=-4.16, FDR=0.001) and small-molecule tractability, but top genetic association is Mendelian sulfite oxidase deficiency (0.83) not autoimmunity (asthma only 0.56), and gene is not LoF-constrained.","Strongest population genetics signal is for an unrelated monogenic metabolic disease (isolated sulfite oxidase deficiency), while the autoimmune-relevant association (asthma) is much weaker, raising doubt that inhibiting SUOX is safe or mechanistically tied to the inflammatory program versus a general metabolic/oxidative stress effect.","novel - no existing drug (0 known compounds, undrugged despite sm_tractable classification)"
SPPL3,29,brake_agonize,,low,2,no,"Knockdown raises the pro-inflammatory program (signed z=4.5, FDR=0.001) indicating SPPL3 is a brake, but genetics support is weak for autoimmunity (allergic rhinitis score 0.3; top disease is neurodegenerative, score 0.37) and no existing drugs exist to build on.","Strong causal screen signal is not matched by strong autoimmune-specific genetics (top OT association is neurodegenerative disease, not autoimmune), and protein_class is missing/NaN despite an ab_tractable call, undermining confidence in the druggability layer.","novel - no existing drug; SPPL3 is an intramembrane aspartyl protease (GxGD-type) regulating glycosylation via shedding of glycosyltransferases, so a biologic/antibody targeting its surface-exposed substrates or an enzyme-directed small molecule would be a novel modality with no direct precedent."
CEPT1,41,brake_agonize,,low,2,no,"Screen shows knockdown raises pro-inflammatory program (z=4.22, FDR=0.002) supporting a brake/agonize hypothesis, but genetics is dominated by neurodegenerative disease (0.35) with only weak autoimmune signal (Hashimoto 0.21), and protein class is undefined despite sm_tractable flag.","Top disease association is neurodegenerative (not autoimmune), and protein_class is missing/NaN, undermining confidence that this is a coherent, mechanistically-grounded autoimmune target despite the strong screen signal.",novel - no existing drug (CEPT1/choline/ethanolamine phosphotransferase 1 is an uncommon target; no chemical matter reported)
ACAP1,61,brake_agonize,agonize,low,2,yes,"Screen shows robust brake signal (z=4.27, FDR=0.001) supporting agonism, and genetics/tractability flag it as ab-tractable, but knockdown_efficacy is oddly negative (-15.36) and protein_class is missing/NaN, undermining mechanistic clarity.","Genetics tier is ""strong"" but top disease association is hypothyroidism (0.45) not the autoimmune indication of interest, and the autoimmune (T1D) score is only 0.34 with unclear relevance to a CD4+ T-cell inflammatory program; also protein_class is NaN despite claimed ab-tractability, and negative knockdown efficacy raises data-quality concern.","novel - no existing drug (n_existing_drugs=0, max_drug_stage null); would require de novo antibody/biologic given surface modality suggestion and undefined protein class."
CYLD,68,brake_agonize,,low,2,no,"Knockdown raises the pro-inflammatory program (z=3.56, FDR=0.018) marking CYLD a brake, but its known role as a deubiquitinase restraining NF-κB via agonism is mechanistically awkward for small-molecule activation, and genetics is dominated by an unrelated Mendelian tumor syndrome rather than autoimmune signal (autoimmune score only 0.47).","Top disease association (Brooke-Spiegler syndrome, score 0.75) is a non-immune skin tumor syndrome, not the autoimmune indication of interest, and CYLD's deubiquitinase mechanism is not readily agonizable by conventional small molecules despite the tractability tag.","novel - no existing drug; CYLD is a deubiquitinase (DUB), and DUB activators are an immature/underdeveloped modality class overall."
MTX1,69,brake_agonize,agonize,low,2,yes,"Screen shows knockdown raises inflammatory program (brake, FDR 0.001) supporting agonism, but genetics tie mainly to gastric carcinoma not autoimmunity (MS score only 0.24) and protein class is unresolved.","Top disease association is gastric carcinoma (score 0.44), not autoimmune disease; autoimmune (MS) score is weak (0.24), so genetics don't clearly support an autoimmune indication despite the screen direction.","novel - no existing drug; MTX1 (metaxin-1, mitochondrial outer membrane protein) lacks characterized ligands/agonists, and suggested antibody/biologic modality is unusual for an intracellular mitochondrial protein, raising feasibility doubt."
BCL3,80,driver_antagonize,antagonize,low,2,yes,"Screen shows strong, significant driver signal (z=-5.83, FDR=0, high knockdown efficacy) and target is sm_tractable/druggable, but genetics shows no autoimmune association (score=0.0) and top disease is neurodegenerative, undermining indication fit.","Robust screen-based driver call and druggability are not supported by population genetics: OT_autoimmune_score is 0.0 and top genetic association is neurodegenerative disease, not autoimmune/inflammatory.","novel - no existing drug (BCL3 is undrugged, n_existing_drugs=0, protein class unspecified/NaN limiting mechanistic tractability assessment)"
SYNE2,87,driver_antagonize,antagonize,low,2,yes,"Screen shows significant driver signal (z=-3.74, FDR=0.008) supporting antagonism, but genetics tie SYNE2 to Emery-Dreifuss muscular dystrophy (score 0.65) not autoimmune disease (score 0.0), undermining indication-specific rationale.","Strong genetic constraint and disease association are for a structural muscular dystrophy, not any autoimmune/inflammatory disease, so genetics do not corroborate the immune-driver hypothesis despite the significant screen effect.","novel - no existing drug (n_existing_drugs=0, undrugged nuclear envelope/nesprin-2 protein; small-molecule tractability flagged but protein class unspecified)"
SULF2,88,brake_agonize,agonize,low,2,yes,"Knockdown raises the pro-inflammatory program (signed_z 3.97, FDR 0.004) supporting a brake/agonize hypothesis, and it's ab-tractable, but genetics show no autoimmune association (score 0.0) and top hit is osteoarthritis, not autoimmune disease.","Strong genetics tier is driven by an osteoarthritis association, not autoimmune/inflammatory disease (OT_autoimmune_score=0.0), so population genetics does not support an autoimmune indication despite the screen signal.","novel - no existing drug (n_existing_drugs=0, undrugged target; SULF2 is an extracellular sulfatase modulating heparan sulfate-growth factor signaling, no established agonist biologic exists)"
